,AQI
972,45.0
973,45.0
974,68.0
975,80.0
976,109.0
977,107.0
978,104.0
979,96.0
980,86.0
981,99.0
982,105.0
983,89.0
984,65.0
985,83.0
986,97.0
987,67.0
988,55.0
989,55.0
990,59.0
991,78.0
992,68.0
993,91.0
994,71.0
995,84.0
996,83.0
997,103.0
998,107.0
999,94.0
1000,113.0
1001,100.0
1002,96.0
1003,93.0
1004,92.0
1005,112.0
1006,114.0
1007,131.0
1008,112.0
1009,105.0
1010,132.0
1011,113.0
1012,95.0
1013,117.0
1014,116.0
1015,122.0
1016,117.0
1017,110.0
1018,111.0
1019,109.0
1020,115.0
1021,91.0
1022,68.0
1023,66.0
1024,50.0
1025,35.0
1026,49.0
1027,61.0
1028,69.0
1029,77.0
1030,68.0
1031,77.0
1032,83.0
1033,65.0
1034,44.0
1035,85.0
1036,101.0
1037,97.0
1038,97.0
1039,81.0
1040,70.0
1041,86.0
1042,49.0
1043,39.0
1044,54.0
1045,58.0
1046,47.0
1047,35.0
1048,43.0
1049,41.0
1050,35.0
1051,34.0
1052,44.0
1053,38.0
1054,34.0
1055,34.0
1056,35.0
1057,32.0
1058,28.0
1059,29.0
1060,25.0
1061,19.0
1062,26.0
1063,31.0
1064,46.0
1065,34.0
1066,37.0
1067,49.0
1068,47.0
1069,32.0
1070,31.0
1071,31.0
1072,32.0
1073,35.0
1074,42.0
1075,29.0
1076,29.0
1077,38.0
1078,34.0
1079,47.0
1080,36.0
1081,36.0
1082,32.0
1083,32.0
1084,32.0
1085,31.0
1086,42.0
1087,70.0
1088,68.0
1089,74.0
1090,66.0
1091,68.0
1092,59.0
1093,101.0
1094,79.0
1095,78.0
1096,42.0
1097,42.0
1098,42.0
1099,42.0
1100,42.0
1101,42.0
1102,96.0
1103,55.0
1104,56.0
1105,48.0
1106,45.0
1107,61.0
1108,74.0
1109,54.0
1110,48.0
1111,31.0
1112,64.0
1113,59.0
1114,32.0
1115,19.0
1116,22.0
1117,23.0
1118,29.0
1119,24.0
1120,25.0
1121,35.0
1122,30.0
1123,24.0
1124,26.0
1125,31.0
1126,23.0
1127,26.0
1128,33.0
1129,32.0
1130,45.0
1131,42.0
1132,38.0
1133,38.0
1134,39.0
1135,37.0
1136,32.0
1137,35.0
1138,37.0
1139,29.0
1140,34.0
1141,31.0
1142,36.0
1143,52.0
1144,35.0
1145,50.0
1146,48.0
1147,47.0
1148,47.0
1149,48.0
1150,40.0
1151,32.0
1152,45.0
1153,45.0
1154,46.0
1155,41.0
1156,40.0
1157,36.0
1158,30.0
1159,32.0
1160,24.0
1161,32.0
1162,35.0
1163,52.0
1164,45.0
1165,36.0
1166,33.0
1167,33.0
1168,27.0
1169,29.0
1170,29.0
1171,33.0
1172,44.0
1173,42.0
1174,36.0
1175,31.0
1176,35.0
1177,34.0
1178,34.0
1179,46.0
1180,53.0
1181,50.0
1182,63.0
1183,61.0
1184,40.0
1185,26.0
1186,37.0
1187,65.0
1188,30.0
1189,35.0
1190,31.0
1191,31.0
1192,30.0
1193,60.0
